,Names,"Elastic (Young's, Tensile) Modulus",Elongation at Break,Poisson's Ratio,Shear Modulus,Tensile Strength: Ultimate (UTS),Tensile Strength: Yield (Proof),Latent Heat of Fusion,Melting Completion (Liquidus),Melting Onset (Solidus),Specific Heat Capacity,Thermal Conductivity,Thermal Expansion,Electrical Conductivity: Equal Volume,Electrical Conductivity: Equal Weight (Specific),Base Metal Price,Density,Embodied Carbon,Embodied Energy,Embodied Water,Resilience: Ultimate (Unit Rupture Work),Resilience: Unit (Modulus of Resilience),Stiffness to Weight: Axial,Stiffness to Weight: Bending,Strength to Weight: Axial,Strength to Weight: Bending,Thermal Diffusivity,Thermal Shock Resistance,Iron (Fe)Fe,Nickel (Ni)Ni,Manganese (Mn)Mn,Molybdenum (Mo)Mo,Silicon (Si)Si,Copper (Cu)Cu,Carbon (C)C,Chromium (Cr)Cr,Vanadium (V)V,Phosphorus (P)P,Sulfur (S)S,PREN (Pitting Resistance),Niobium (Nb)Nb,Nitrogen (N)N,Aluminum (Al)Al,Titanium (Ti)Ti,Zirconium (Zr)Zr,Brinell Hardness,Fatigue Strength,Maximum Temperature: Mechanical,Impact Strength: V-Notched Charpy,Tungsten (W)W,Maximum Temperature: Corrosion,Selenium (Se)Se,Cobalt (Co)Co,Magnesium (Mg)Mg,Tin (Sn)Sn,Arsenic (As)As,Shear Strength,Calcium (Ca)Ca,Boron (B)B,Oxygen (O)O,Tantalum (Ta)Ta,Cerium (Ce)Ce,Lanthanum (La)La,Lead (Pb)Pb,Zinc (Zn)Zn
30,AWS-ER80S-Ni3-or-ER55S-Ni3-K31240-Weld-Metal,190.0,27.0,0.29,72.0,630.0,530.0,260,1450,1410,470,51.0,13.0,7.4,8.5,4.0,7.8,1.7,23,52,160.0,740.0,13.0,24.0,22.0,21.0,14.0,19.0,94.9,3.4,0.65,0.0,0.6000000000000001,0.175,0.06,0.0,0.0,0.0125,0.0125,7.4,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,AWS-ER90S-B3-or-ER62S-B3-K30960-Weld-Metal,190.0,19.0,0.29,73.0,690.0,620.0,260,1460,1420,470,40.0,13.0,7.7,8.9,4.1,7.8,1.8,24,60,130.0,1000.0,13.0,24.0,25.0,22.0,11.0,20.0,94.7,0.1,0.55,1.05,0.55,0.175,0.095,2.5,0.0,0.0125,0.0125,6.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,AWS-ER90S-B9-or-ER62S-B9-S50482-Weld-Metal,190.0,18.0,0.28,75.0,690.0,470.0,270,1450,1410,470,25.0,13.0,7.0,8.1,7.0,7.8,2.6,37,91,110.0,570.0,14.0,25.0,25.0,22.0,6.9,19.0,87.55000000000001,0.4,0.6,1.025,0.325,0.1,0.1,9.25,0.22499999999999998,0.005,0.005,13.0,0.060000000000000005,0.05,0.02,0.0,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,AWS-ER90S-D2-or-ER62S-D2-Weld-Metal,190.0,19.0,0.29,73.0,710.0,600.0,260,1450,1410,470,47.0,13.0,7.4,8.5,2.6,7.8,1.6,21,50,130.0,980.0,13.0,24.0,25.0,23.0,13.0,21.0,96.30000000000001,0.075,1.85,0.5,0.65,0.25,0.095,0.0,0.0,0.0125,0.0125,9.45,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,ASTM-A356-Grade-10-J22090-Cast-Steel,190.0,23.0,0.29,74.0,670.0,430.0,260,1470,1430,470,39.0,13.0,7.6,8.8,3.9,7.9,1.8,23,59,130.0,480.0,13.0,24.0,24.0,22.0,11.0,19.0,95.5,0.0,0.65,1.05,0.3,0.0,0.1,2.4,0.0,0.0175,0.015,5.9,0.0,0.0,0.0,0.0,0.0,200.0,300.0,460.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,ASTM-A356-Grade-2-J12523-Cast-Steel,190.0,25.0,0.29,73.0,510.0,270.0,250,1470,1430,470,51.0,13.0,7.1,8.2,2.4,7.9,1.5,20,47,110.0,190.0,13.0,24.0,18.0,18.0,14.0,15.0,98.625,0.0,0.35,0.55,0.3,0.0,0.125,0.0,0.0,0.0175,0.015,4.050000000000001,0.0,0.0,0.0,0.0,0.0,150.0,200.0,410.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,ASTM-A356-Grade-5-J12540-Cast-Steel,190.0,25.0,0.29,73.0,550.0,310.0,250,1470,1420,470,49.0,13.0,7.2,8.3,2.6,7.9,1.5,20,49,120.0,250.0,13.0,24.0,20.0,19.0,13.0,16.0,98.15,0.0,0.35,0.5,0.3,0.0,0.125,0.55,0.0,0.0175,0.015,2.2,0.0,0.0,0.0,0.0,0.0,170.0,230.0,420.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,ASTM-A356-Grade-6-J12073-Cast-Steel,190.0,25.0,0.29,73.0,550.0,350.0,250,1460,1420,470,41.0,13.0,7.4,8.4,2.9,7.8,1.6,21,53,120.0,320.0,13.0,24.0,20.0,19.0,11.0,16.0,97.15,0.0,0.65,0.55,0.3,0.0,0.1,1.25,0.0,0.0175,0.015,3.1,0.0,0.0,0.0,0.0,0.0,170.0,250.0,430.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,ASTM-A356-Grade-8-J11697-Cast-Steel,190.0,21.0,0.29,73.0,630.0,390.0,260,1470,1430,470,38.0,13.0,7.5,8.6,3.5,7.8,2.0,26,55,110.0,390.0,13.0,24.0,22.0,21.0,10.0,18.0,96.4,0.0,0.7,1.05,0.4,0.0,0.1,1.25,0.1,0.0175,0.015,4.7,0.0,0.0,0.0,0.0,0.0,190.0,270.0,440.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,ASTM-A356-Grade-9-J21610-Cast-Steel,190.0,17.0,0.29,73.0,670.0,460.0,260,1470,1430,470,41.0,13.0,7.5,8.6,3.6,7.8,2.4,33,56,100.0,570.0,13.0,24.0,24.0,22.0,11.0,19.0,96.2,0.0,0.7,1.05,0.4,0.0,0.1,1.25,0.275,0.0175,0.015,4.7,0.0,0.0,0.0,0.0,0.0,200.0,310.0,440.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
